송암동주민센터,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"광주광역시 남구 송암로 66, 도로쪽 주차장",35.111648,126.877215,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
광주문화예술회관,1,3,DC차데모 + AC3상,충전가능,"광주광역시 북구 북문대로 60, 광주문화예술회관 지상주차장",35.177718,126.881703,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
중소기업진흥공단 호남연수원,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"광주광역시 북구 동문대로456번길 40, 주차장 1층",35.203949,126.937339,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 동대전점,1,3,DC차데모 + AC3상,충전가능,"대전광역시 동구 한밭대로 1282, 지상주차장 5층",36.353803,127.437375,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
대전월드컵경기장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,대전광역시 유성구 월드컵대로 32,36.363604,127.32591,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
울산 중구 동천체육관,1,6,DC차데모 + AC3상 + DC콤보,충전가능,울산광역시 중구 염포로 85동천 체육관 동편 주차장,35.561792,129.352073,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
울산 동구 전하체육센터,1,6,DC차데모 + AC3상 + DC콤보,충전가능,울산광역시 동구 봉수로 285전하체육센터 주차장 입구옆,35.512571,129.422104,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
울산시 북구청,1,6,DC차데모 + AC3상 + DC콤보,충전가능,울산광역시 북구 연암동 산업로 1010 북구청,35.582734,129.360909,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
농소2동 주민센터,1,6,DC차데모 + AC3상 + DC콤보,충전가능,울산광역시 북구 찬샘1길 24,35.638203,129.3480953,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
울산 울주군 서생면사무소,1,6,DC차데모 + AC3상 + DC콤보,충전가능,울산광역시 울주군 서생면 해맞이로 894서생면사무소 청사 건물 출입구 우측 주차장,35.349902,129.32604,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 동수원점,1,3,DC차데모 + AC3상,충전가능,"경기도 수원시 팔달구 효원로 257, 지하주차장 1층  A01구역",37.45195982,126.7017711,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 서수원점,1,3,DC차데모 + AC3상,충전가능,"경기도 수원시 권선구 수인로 291, 지하주차장 1층 C12구역",37.282506,126.970137,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
장안구청,1,6,DC차데모 + AC3상 + DC콤보,충전가능,경기도 수원시 장안구 송원로 101,37.304438,127.010121,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
수원화성박물관,1,6,DC차데모 + AC3상 + DC콤보,충전가능,경기도 수원시 팔달구 창룡대로 21,37.2823374,127.019723,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
롯데마트 영통점,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"경기도 수원시 영통구 봉영로 1579, 지하주차장 5층 503구역",37.252726,127.071649,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 성남점,1,3,DC차데모 + AC3상,충전가능,"경기도 성남시 수정구 수정로 201, 지하주차장 2층 C3구역",37.26286532,127.0296301,10:00~22:00,환경부,1661-9408,2.02E+13,급속(50kW)
성남시청,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"경기도 성남시 중원구 성남대로 997, 성남시청 제1주차장",37.420017,127.126649,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
동양컴퓨터학원 앞(공중전화부스),1,6,DC차데모 + AC3상 + DC콤보,충전가능,경기도 성남시 중원구 중앙동 1175,37.4398788,127.1455762,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
율동자연공원 B주차장,1,6,DC차데모 + AC3상 + DC콤보,충전중,"경기도 성남시 분당구 서현로 459, 율동자연공원 B주차장(서현로방면) 출입구 왼쪽",37.372759,127.147019,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
성남 맛고을 주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,경기도 성남시 분당구 야탑로 111번길 12-14,37.411622,127.131772,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
하나로마트 구미점,1,6,DC차데모 + AC3상 + DC콤보,충전가능,경기도 성남시 분당구 성남대로 43번길 11 ,37.3378677,127.1086182,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 의정부점,1,3,DC차데모 + AC3상,충전가능,"경기도 의정부시 청사로 38, 지상주차장 5층",37.75264066,127.0713202,10:00~23:40,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 안양점,1,3,DC차데모 + AC3상,충전가능,"경기도 안양시 동안구 엘에스로 92, 지하주차장 2층 D1 구역",37.370042,126.953179,09:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
안양시청,1,6,DC차데모 + AC3상 + DC콤보,충전가능,경기도 안양시 동안구 관앙동 1590,37.394966,126.957851,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 중동점,1,3,DC차데모 + AC3상,충전가능,"경기도 부천시 원미구 석천로 188, 지상주차장 2층 D구역 창고 오른쪽",37.50395069,126.7640929,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
비전 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"경기도 평택시 비전동 629-1,주차장 안쪽 끝",36.997061,127.088369,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 안산점,1,3,DC차데모 + AC3상,충전가능,"경기도 안산시 상록구 충장로 432, 지상주차장 1층 35구역",37.317494,126.850333,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
안산문화예술의전당,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"경기도 안산시 단원구 화랑로 312, 출연자 주차장 P4 (관리동오른쪽)",37.319685,126.822534,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
롯데마트 주엽점,1,3,DC차데모 + AC3상,충전가능,"경기도 고양시 일산서구 중앙로 1496, 지하주차장 2층 210구역",37.673095,126.755524,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
롯데마트 고양점,1,3,DC차데모 + AC3상,충전가능,"경기도 고양시 덕양구 충장로 150, 지상주차장 4층 422구역",37.625167,126.836274,10:00~23:00,환경부,1661-9408,2.02E+13,급속(50kW)
고양종합운동장 부설주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"경기도 고양시 일산서구 중앙로 1601, 대형주차장 왼쪽도로변",37.678997,126.741799,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
과천시청,1,3,DC차데모 + AC3상,충전가능,"경기도 과천시 관문로 69, 과천시청",37.428564,126.98823,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 도농점,1,3,DC차데모 + AC3상,충전가능,"경기도 남양주시 도농로 24, 지하주차장 2층 L8구역",37.608762,127.159746,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
